setup done
51,0,0,573017,880014,233234,433686,143183,255426,246509,524751
51,0,0,1539057,544618,359969,214544,125127,362732,52096,1014804
51,0,0,1200791,147605,139357,192669,94442,181919,154151,1169074
51,0,0,765193,634774,243892,279755,127269,231141,121603,575571
51,0,0,859441,634336,106020,198648,182317,245694,81486,925719
51,0,0,230307,227950,77312,67606,32728,37299,36022,275001
51,0,0,432508,432648,520663,263699,75284,134784,93148,928621
51,0,0,812133,694026,78980,168960,274915,243542,121149,1337738
51,0,0,285149,1725093,193080,279219,157584,90882,115800,984577
51,0,0,637111,765575,247673,253210,94125,98651,65134,1810356
51,0,0,1500638,749887,48711,141248,102104,354219,158617,1374281
51,0,0,288161,890758,147400,87030,198627,202766,53893,1151054
51,0,0,804368,1096823,181961,309105,104812,252345,102295,705257
51,0,0,588502,539046,131142,127010,210416,262401,111438,1254883
51,0,0,1037212,510758,337299,194767,43267,181527,126650,1317159
51,0,0,1673649,420664,105274,429522,62200,329385,93863,1479286
51,0,0,742526,654461,208881,171112,64652,276499,181803,1008791
51,0,0,841001,814532,140917,391620,55822,222159,241732,1190408
51,0,0,81443,235200,47273,63949,48142,26956,41613,302250
51,0,0,416472,891726,157872,158752,71793,92457,120848,1464619
51,0,0,889429,864560,146884,290861,173906,217356,177066,522423
51,0,0,252077,786943,25003,263611,133981,311383,141256,860540
51,0,0,142354,377799,30836,42539,45309,26369,47616,258761
51,0,0,338546,651354,229191,236514,125283,296085,85435,1317585
51,0,0,1243293,1107903,114761,101717,42727,144166,102373,1373249
51,0,0,1292405,821270,48529,207264,229677,117264,140527,747360
51,0,0,748519,1499343,369083,267995,267151,177593,78772,1073541
51,0,0,30132,289750,53699,80819,35528,48636,24773,145530
51,0,0,689950,523754,276602,145518,129188,65090,165192,1291376
51,0,0,113857,138829,65416,88900,11929,47959,39753,243279
51,0,0,1278131,1013737,227721,353313,231348,125504,197802,890820
51,0,0,330138,1953968,181035,387608,64798,134086,86804,1272409
51,0,0,189633,207950,23361,27800,10905,35376,45010,294274
51,0,0,2045437,576488,189394,161787,271720,173138,142573,554751
51,0,0,84351,239185,64100,100637,47265,32634,25227,266821
51,0,0,354445,726580,168182,135462,103579,110236,135411,1503106
51,0,0,1062286,898889,195164,469645,220451,163878,52206,714341
51,0,0,1238172,871177,114099,332222,57871,241277,69654,1132825
51,0,0,125845,120132,64531,87223,46752,99959,34890,125746
51,0,0,670768,866623,203194,247943,28508,136105,135603,1060802
51,0,0,147510,61227,43421,187485,16186,37128,35547,285008
51,0,0,179406,124682,82390,29570,24538,44293,30477,149584
51,0,0,350527,1099471,136580,327350,219526,184523,106453,1142258
51,0,0,166817,300985,150703,32059,17820,81180,23397,268410
51,0,0,160863,759842,359621,364075,135337,150667,107010,1828918
51,0,0,1080733,567027,205303,370881,54125,307240,132584,1003613
51,0,0,756344,1074046,267582,223778,131307,143289,152411,806764
51,0,0,373847,1155669,31071,287533,73662,206446,110415,696810
51,0,0,689838,891625,139972,238340,145357,159578,122790,790126
